Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,35489.21,35671.882,52135.281
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,On-site Transportation / Transport sur le site,220.28,222.279,52135.281
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,Waste / Déchets,0,16241.12,52135.281
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Leakage / Fuites,2.035,2930.079,257499.354
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,243458.838,245645.489,257499.354
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Venting / Évacuation,5.982,8923.786,257499.354
G10004,2023,Kingston CoGen,Ontario,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,934.2516,946.317909,946.317909
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Flaring / Torchage,13445.05,14095.635,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Leakage / Fuites,0.3618,730.0418,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,728769.047,732587.1005,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Industrial Processes / Procédés industriels,255574.2,258611.63,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,On-site Transportation / Transport sur le site,3576.613,3662.728043,1079936.645
